,Unnamed: 0,trade_date,price,open,settle,close,per,high,low,normcjl,vol,normcje,amount,normccl,oi,jc,ts_code,dt
0,0,20150209,2.3,0.1272,0.123,0.1225,-0.038367347,0.1364,0.1134,-0.459350142,1323,-0.036726964,167.5003,-0.725205071,509,0.031,10000003.SH,44
1,1,20150210,2.45,0.0577,0.0659,0.0622,0.072347267,0.0678,0.0563,-0.464420112,1023,-0.038336059,64.5427,-0.728186983,368,-0.081,10000041.SH,43
2,2,20150210,2.3,0.1237,0.1367,0.1367,0.095098756,0.143,0.1167,-0.470977273,635,-0.038030515,84.0929,-0.725183923,510,0.069,10000003.SH,43
3,3,20150211,2.45,0.0666,0.0591,0.0591,-0.126903553,0.0703,0.0557,-0.448720105,1952,-0.03745494,120.9209,-0.715286513,978,-0.07,10000041.SH,42
4,4,20150211,2.3,0.1374,0.1363,0.1363,-0.008070433,0.1451,0.128,-0.463744116,1063,-0.037056666,146.4044,-0.720298663,741,0.08,10000003.SH,42
5,5,20150212,2.5,0.0434,0.0373,0.0373,-0.163538874,0.0434,0.0315,-0.45468577,1599,-0.038436683,58.1043,-0.725987559,472,-0.116,10000049.SH,41
6,6,20150212,2.45,0.06,0.0536,0.0536,-0.119402985,0.06,0.0453,-0.457339054,1442,-0.038200308,73.2287,-0.709872546,1234,-0.066,10000041.SH,41
7,7,20150212,2.3,0.1361,0.1337,0.1323,-0.0287226,0.1372,0.12,-0.466955097,873,-0.037568055,113.6833,-0.71896632,804,0.084,10000003.SH,41
8,8,20150213,2.5,0.0381,0.0294,0.0294,-0.295918367,0.0442,0.0287,-0.429842917,3069,-0.037554194,114.5702,-0.715117327,986,-0.11,10000049.SH,40
9,9,20150213,2.45,0.0545,0.0429,0.0429,-0.27039627,0.0635,0.0426,-0.442247444,2335,-0.037365596,126.6376,-0.706742596,1382,-0.06,10000041.SH,40
10,10,20150213,2.3,0.1351,0.1281,0.1281,-0.054644809,0.155,0.1257,-0.433527096,2851,-0.033341395,384.1252,-0.721102299,703,0.09,10000003.SH,40
11,11,20150216,2.5,0.029,0.0304,0.0304,0.046052632,0.0329,0.0269,-0.474576952,422,-0.039147546,12.6199,-0.713065941,1083,-0.106,10000049.SH,37
12,12,20150216,2.45,0.0429,0.0453,0.0453,0.052980132,0.0481,0.0416,-0.47665564,299,-0.039135866,13.3672,-0.704966137,1466,-0.056,10000041.SH,37
13,13,20150216,2.3,0.1286,0.131,0.131,0.018320611,0.1351,0.1228,-0.47824423,205,-0.038934867,26.2281,-0.720996557,708,0.094,10000003.SH,37
14,14,20150217,2.5,0.0296,0.0348,0.0343,0.137026239,0.0388,0.0296,-0.469168984,742,-0.038937219,26.0776,-0.710084029,1224,-0.089,10000049.SH,36
15,15,20150217,2.45,0.0444,0.0522,0.0525,0.154285714,0.0575,0.0444,-0.474407953,432,-0.038987397,22.867,-0.702386043,1588,-0.039,10000041.SH,36
16,16,20150217,2.3,0.1335,0.1413,0.1419,0.059196617,0.1524,0.1335,-0.477145737,270,-0.038726058,39.5887,-0.722815312,622,0.111,10000003.SH,36
17,17,20150225,2.5,0.0333,0.0208,0.0208,-0.600961538,0.0333,0.0185,-0.450173497,1866,-0.038614294,46.7399,-0.709491876,1252,-0.13,10000049.SH,28
18,18,20150225,2.45,0.0504,0.0333,0.0333,-0.513513514,0.0504,0.03,-0.455142067,1572,-0.038387126,61.2752,-0.69955217,1722,-0.08,10000041.SH,28
19,19,20150225,2.3,0.1387,0.1075,0.1075,-0.290232558,0.1387,0.0997,-0.467293095,853,-0.037756567,101.6214,-0.717443641,876,0.07,10000003.SH,28
20,20,20150226,2.5,0.0205,0.0436,0.0436,0.529816514,0.0438,0.018,-0.462594923,1131,-0.038796259,35.0969,-0.705537142,1439,-0.05,10000049.SH,27
21,21,20150226,2.45,0.032,0.0655,0.0655,0.511450382,0.0655,0.0292,-0.467056497,867,-0.038702227,41.1135,-0.696739444,1855,0,10000041.SH,27
22,22,20150226,2.3,0.1035,0.1628,0.1628,0.364250614,0.1628,0.0973,-0.474019255,455,-0.038439277,57.9383,-0.717464789,875,0.15,10000003.SH,27
23,23,20150227,2.55,0.0292,0.0272,0.0272,-0.073529412,0.0347,0.0246,-0.430147116,3051,-0.037940845,89.8304,-0.716386226,926,-0.112,10000057.SH,26
24,24,20150227,2.5,0.0449,0.0418,0.0418,-0.074162679,0.0524,0.0365,-0.44630342,2095,-0.037863831,94.7581,-0.700694178,1668,-0.062,10000049.SH,26
25,25,20150227,2.45,0.0663,0.0618,0.0618,-0.072815534,0.0755,0.0573,-0.457693952,1421,-0.037879465,93.7578,-0.691811888,2088,-0.012,10000041.SH,26
26,26,20150227,2.3,0.1668,0.1648,0.1656,-0.007246377,0.1808,0.1539,-0.475945844,341,-0.038441293,57.8093,-0.71807809,846,0.138,10000003.SH,26
27,27,20150302,2.55,0.0283,0.029,0.029,0.024137931,0.0348,0.0264,-0.459012144,1343,-0.03871443,40.3327,-0.709534173,1250,-0.109,10000057.SH,23
28,28,20150302,2.5,0.0434,0.0433,0.0433,-0.002309469,0.052,0.0403,-0.45967124,1304,-0.038429527,58.5622,-0.695364804,1920,-0.059,10000049.SH,23
29,29,20150302,2.45,0.064,0.0641,0.0641,0.001560062,0.0798,0.0595,-0.461935827,1170,-0.038107406,79.173,-0.690458396,2152,-0.009,10000041.SH,23
30,30,20150302,2.3,0.1661,0.1597,0.1624,-0.022783251,0.1795,0.1534,-0.473799557,468,-0.038136258,77.3269,-0.716365077,927,0.141,10000003.SH,23
31,31,20150303,2.55,0.0275,0.0108,0.0108,-1.546296296,0.0275,0.0106,-0.459603641,1308,-0.03899279,22.5219,-0.702068819,1603,-0.186,10000057.SH,22
32,32,20150303,2.5,0.0415,0.0181,0.0181,-1.29281768,0.0415,0.018,-0.469050685,749,-0.039010777,21.371,-0.692002222,2079,-0.136,10000049.SH,22
33,33,20150303,2.45,0.062,0.0301,0.0301,-1.059800664,0.0625,0.03,-0.468425388,786,-0.038830592,32.9001,-0.691325477,2111,-0.086,10000041.SH,22
34,34,20150303,2.3,0.1518,0.1028,0.1028,-0.476653696,0.1518,0.1028,-0.477973832,221,-0.038908434,27.9194,-0.717782014,860,0.064,10000003.SH,22
35,35,20150304,2.55,0.011,0.009,0.009,-0.222222222,0.0127,0.008,-0.462256925,1151,-0.039159381,11.8626,-0.694455427,1963,-0.188,10000057.SH,21
36,36,20150304,2.5,0.0183,0.016,0.016,-0.14375,0.0214,0.0139,-0.457710852,1420,-0.038966853,24.1815,-0.689422128,2201,-0.138,10000049.SH,21
37,37,20150304,2.45,0.0311,0.0274,0.0274,-0.135036496,0.0353,0.0237,-0.464589111,1013,-0.038889308,29.1432,-0.690648731,2143,-0.088,10000041.SH,21
38,38,20150304,2.3,0.1059,0.0992,0.1,-0.059,0.1157,0.09,-0.473377059,493,-0.03856356,49.9861,-0.71721101,887,0.062,10000003.SH,21
39,39,20150305,2.55,0.0085,0.0045,0.0045,-0.888888889,0.0116,0.0039,-0.464031415,1046,-0.039252727,5.8899,-0.691219735,2116,-0.216,10000057.SH,20
40,40,20150305,2.5,0.0152,0.0084,0.0084,-0.80952381,0.0228,0.0073,-0.458454448,1376,-0.039118373,14.4865,-0.688364713,2251,-0.166,10000049.SH,20
41,41,20150305,2.45,0.0259,0.0159,0.0159,-0.628930818,0.0389,0.0132,-0.443176938,2280,-0.038669712,43.194,-0.682908449,2509,-0.116,10000041.SH,20
42,42,20150305,2.3,0.0944,0.0743,0.0743,-0.270524899,0.0991,0.0509,-0.451964886,1760,-0.037203565,137.0051,-0.71006288,1225,0.034,10000003.SH,20
43,43,20150306,2.55,0.0044,0.0043,0.0043,-0.023255814,0.0068,0.0043,-0.462831522,1117,-0.039252161,5.9261,-0.688999162,2221,-0.211,10000057.SH,19
44,44,20150306,2.5,0.0084,0.0085,0.0085,0.011764706,0.012,0.008,-0.44625272,2098,-0.039014239,21.1495,-0.68840701,2249,-0.161,10000049.SH,19
45,45,20150306,2.45,0.0156,0.016,0.016,0.025,0.0216,0.015,-0.44797651,1996,-0.038786119,35.7457,-0.686355623,2346,-0.111,10000041.SH,19
46,46,20150306,2.3,0.0777,0.0779,0.078,0.003846154,0.0897,0.075,-0.465045409,986,-0.03810185,79.5285,-0.709893694,1233,0.039,10000003.SH,19
47,47,20150309,2.55,0.004,0.0073,0.0073,0.452054795,0.0089,0.0018,-0.450849493,1826,-0.03921258,8.4587,-0.687476484,2293,-0.153,10000057.SH,16
48,48,20150309,2.5,0.0081,0.0148,0.0148,0.452702703,0.0172,0.0037,-0.441672847,2369,-0.038952484,25.1009,-0.68451572,2433,-0.103,10000049.SH,16
49,49,20150309,2.45,0.0152,0.0271,0.0271,0.439114391,0.0307,0.0076,-0.428186727,3167,-0.038457366,56.7809,-0.675020128,2882,-0.053,10000041.SH,16
50,50,20150309,2.3,0.074,0.1133,0.117,0.367521368,0.1197,0.0496,-0.457508053,1432,-0.0376069,111.1978,-0.706192739,1408,0.097,10000003.SH,16
51,51,20150310,2.55,0.007,0.0032,0.0032,-1.1875,0.007,0.0032,-0.468577488,777,-0.039290395,3.4797,-0.687391891,2297,-0.191,10000057.SH,15
52,52,20150310,2.5,0.0143,0.0073,0.0072,-0.986111111,0.0143,0.0072,-0.46808739,806,-0.039219211,8.0344,-0.689337535,2205,-0.141,10000049.SH,15
53,53,20150310,2.45,0.0269,0.0155,0.0158,-0.702531646,0.0269,0.015,-0.460093738,1279,-0.038964457,24.3348,-0.679313236,2679,-0.091,10000041.SH,15
54,54,20150310,2.3,0.1105,0.0859,0.0859,-0.286379511,0.1105,0.0843,-0.46812119,804,-0.038156616,76.0243,-0.709470728,1253,0.059,10000003.SH,15
55,55,20150311,2.55,0.0032,0.0025,0.0025,-0.28,0.007,0.0025,-0.469084485,747,-0.039291692,3.3967,-0.687539929,2290,-0.176,10000057.SH,14
56,56,20150311,2.5,0.0074,0.0063,0.0063,-0.174603175,0.0144,0.0062,-0.464589111,1013,-0.039181554,10.4439,-0.689633612,2191,-0.126,10000049.SH,14
57,57,20150311,2.45,0.0155,0.0146,0.0147,-0.054421769,0.0278,0.0135,-0.460769734,1239,-0.038960248,24.6041,-0.680243761,2635,-0.076,10000041.SH,14
58,58,20150311,2.3,0.0897,0.0894,0.0881,-0.01816118,0.118,0.0866,-0.47161947,597,-0.038408247,59.9238,-0.711500966,1157,0.074,10000003.SH,14
59,59,20150312,2.55,0.0034,0.0088,0.0088,0.613636364,0.0126,0.0033,-0.455750464,1536,-0.039136173,13.3476,-0.692848155,2039,-0.102,10000057.SH,13
60,60,20150312,2.5,0.008,0.0202,0.0199,0.59798995,0.0261,0.008,-0.45123819,1803,-0.038864861,30.7074,-0.683944716,2460,-0.052,10000049.SH,13
61,61,20150312,2.45,0.0154,0.0386,0.0384,0.598958333,0.0496,0.0154,-0.451914186,1763,-0.038394617,60.7959,-0.680201465,2637,-0.002,10000041.SH,13
62,62,20150312,2.3,0.095,0.149,0.149,0.362416107,0.1721,0.095,-0.467377595,848,-0.037528105,116.2395,-0.711247186,1169,0.148,10000003.SH,13
63,63,20150313,2.55,0.0094,0.0087,0.0087,-0.08045977,0.0179,0.0078,-0.457710852,1420,-0.039052287,18.715,-0.69403246,1983,-0.095,10000057.SH,12
64,64,20150313,2.5,0.0211,0.0205,0.0205,-0.029268293,0.036,0.0176,-0.455716664,1538,-0.038706181,40.8605,-0.68276041,2516,-0.045,10000049.SH,12
65,65,20150313,2.45,0.0402,0.0412,0.0411,0.02189781,0.0639,0.0362,-0.460296537,1267,-0.03833296,64.741,-0.680899359,2604,0.005,10000041.SH,12
66,66,20150313,2.3,0.1553,0.1584,0.1563,0.006397953,0.1941,0.1486,-0.474729051,413,-0.038236545,70.9101,-0.713192831,1077,0.155,10000003.SH,12
67,67,20150316,2.55,0.009,0.0166,0.0166,0.457831325,0.0175,0.0078,-0.447756811,2009,-0.038929469,26.5735,-0.690204616,2164,-0.04,10000057.SH,9
68,68,20150316,2.5,0.0221,0.0375,0.0375,0.410666667,0.0401,0.0193,-0.456899657,1468,-0.038672808,42.9959,-0.677050366,2786,0.01,10000049.SH,9
69,69,20150316,2.45,0.043,0.0702,0.0702,0.387464387,0.0728,0.04,-0.45127199,1801,-0.037771825,100.6451,-0.682295148,2538,0.06,10000041.SH,9
70,70,20150316,2.3,0.1654,0.2127,0.2055,0.19513382,0.206,0.1567,-0.468307089,793,-0.036995189,150.338,-0.712431491,1113,0.21,10000003.SH,9
71,71,20150317,2.55,0.0197,0.0273,0.0273,0.278388278,0.0315,0.0197,-0.447165315,2044,-0.038502494,53.8934,-0.690669879,2142,-0.007,10000057.SH,8
72,72,20150317,2.6,0.0445,0.0497,0.0491,0.093686354,0.0541,0.0445,-0.471095573,628,-0.038859537,31.0481,-0.729519327,305,-0.057,10000067.SH,36
73,73,20150317,2.5,0.0426,0.0549,0.0548,0.222627737,0.0611,0.0426,-0.458589647,1368,-0.038214483,72.3217,-0.681047397,2597,0.043,10000049.SH,8
74,74,20150317,2.45,0.0788,0.0948,0.0948,0.168776371,0.1012,0.0788,-0.469506982,722,-0.038322229,65.4276,-0.685530839,2385,0.093,10000041.SH,8
75,75,20150317,2.3,0.2225,0.2453,0.2331,0.045474045,0.2431,0.2138,-0.47489805,403,-0.037894043,92.825,-0.711839339,1141,0.243,10000003.SH,8
76,76,20150318,2.65,0.035,0.0569,0.0569,0.384885764,0.0569,0.0348,-0.469405583,728,-0.038847753,31.8021,-0.727954352,379,-0.039,10000075.SH,35
77,77,20150318,2.55,0.0294,0.0694,0.0694,0.576368876,0.0697,0.0294,-0.457237655,1448,-0.038292611,67.3227,-0.688681938,2236,0.061,10000057.SH,7
78,78,20150318,2.6,0.052,0.0789,0.0789,0.340937896,0.0789,0.052,-0.470149178,684,-0.038653145,44.254,-0.722434643,640,0.011,10000067.SH,35
79,79,20150318,2.5,0.0582,0.115,0.115,0.493913043,0.115,0.0582,-0.461564029,1192,-0.037835789,96.5524,-0.688703086,2235,0.111,10000049.SH,7
80,80,20150318,2.45,0.099,0.1612,0.1612,0.385856079,0.1613,0.099,-0.466296001,912,-0.037536396,115.709,-0.693398011,2013,0.161,10000041.SH,7
81,81,20150318,2.3,0.2513,0.3128,0.3096,0.188307494,0.3096,0.2513,-0.476706339,296,-0.038066703,81.7774,-0.713615797,1057,0.311,10000003.SH,7
82,82,20150319,2.7,0.0383,0.0373,0.0377,-0.015915119,0.041,0.0328,-0.472971461,517,-0.039048958,18.928,-0.730259518,270,-0.113,10000083.SH,34
83,83,20150319,2.55,0.0633,0.0526,0.0526,-0.203422053,0.0647,0.048,-0.455040668,1578,-0.03797286,87.7819,-0.699657911,1717,0.037,10000057.SH,6
84,84,20150319,2.65,0.0543,0.0526,0.0528,-0.028409091,0.0568,0.0485,-0.470351977,672,-0.038793368,35.2819,-0.727510237,400,-0.063,10000075.SH,34
85,85,20150319,2.6,0.0769,0.074,0.074,-0.039189189,0.0814,0.0688,-0.469050685,749,-0.03848481,55.0249,-0.720002587,755,-0.013,10000067.SH,34
86,86,20150319,2.5,0.1087,0.0902,0.0901,-0.206437292,0.1087,0.0863,-0.467614193,834,-0.038098637,79.7341,-0.69403246,1983,0.087,10000049.SH,6
87,87,20150319,2.45,0.1555,0.1373,0.1355,-0.147601476,0.1555,0.1298,-0.474154454,447,-0.038363909,62.7607,-0.696147292,1883,0.137,10000041.SH,6
88,88,20150319,2.3,0.2925,0.2886,0.2865,-0.020942408,0.3006,0.2773,-0.477399235,255,-0.038187002,74.0801,-0.714736657,1004,0.287,10000003.SH,6
89,89,20150320,2.7,0.0385,0.0551,0.0551,0.301270417,0.0666,0.0357,-0.467495894,841,-0.038676465,42.7619,-0.725120478,513,-0.065,10000083.SH,33
90,90,20150320,2.65,0.0543,0.0754,0.0754,0.279840849,0.0888,0.0502,-0.468560588,778,-0.038502124,53.9171,-0.725183923,510,-0.015,10000075.SH,33
